"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－共照紀錄欄位對應"
"HNCaseDescModel","HNCaseDescModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－共照紀錄邏輯模型","描述居家護理共照紀錄的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNCaseDescModel.caseID","HNCaseDescModel.caseID","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","個案身分證字號","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.caseID",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseID')"
"HNCaseDescModel.endDate","HNCaseDescModel.endDate","","","",1,1,"","","","date {[]} {[]}
","收案日期","收案日期","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.endDate",1,1,"","","QuestionnaireResponse.item.where(linkId='EndDate')"
"HNCaseDescModel.date","HNCaseDescModel.date","","","",1,1,"","","","date {[]} {[]}
","照護日期","照護日期","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.date",1,1,"","","QuestionnaireResponse.item.where(linkId='Date')"
"HNCaseDescModel.time","HNCaseDescModel.time","","","",1,1,"","","","time {[]} {[]}
","開始時間","開始時間","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.time",1,1,"","","QuestionnaireResponse.item.where(linkId='Time')"
"HNCaseDescModel.time2","HNCaseDescModel.time2","","","",1,1,"","","","time {[]} {[]}
","結束時間","結束時間","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.time2",1,1,"","","QuestionnaireResponse.item.where(linkId='Time2')"
"HNCaseDescModel.medicalName","HNCaseDescModel.medicalName","","","",1,1,"","","","string {[]} {[]}
","共照成員姓名","共照成員姓名","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.medicalName",1,1,"","","QuestionnaireResponse.item.where(linkId='MedicalName')"
"HNCaseDescModel.title","HNCaseDescModel.title","","","",1,1,"","","","BackboneElement {[]} {[]}
","共照成員職稱","共照成員職稱","","","","","","","","","",,,,,"",,,,"HNCaseDescModel.title",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Title')"
"HNCaseDescModel.title.id","HNCaseDescModel.title.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNCaseDescModel.title.extension","HNCaseDescModel.title.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNCaseDescModel.title.modifierExtension","HNCaseDescModel.title.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
