"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HNEvaluationAPIModel","HNEvaluationAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－全人評估 API 邏輯模型","描述全人評估 API 的請求資料。來源為 V5.0.16 印刷頁 14–70，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNEvaluationAPIModel.agency","HNEvaluationAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.agency",1,1,"",""
"HNEvaluationAPIModel.dataList","HNEvaluationAPIModel.dataList","","","",1,*,"","","","BackboneElement {[]} {[]}
","個案評估批次","每筆資料包含個案識別與不同日期的評估。","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HNEvaluationAPIModel.dataList.id","HNEvaluationAPIModel.dataList.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNEvaluationAPIModel.dataList.extension","HNEvaluationAPIModel.dataList.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNEvaluationAPIModel.dataList.modifierExtension","HNEvaluationAPIModel.dataList.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNEvaluationAPIModel.dataList.caseID","HNEvaluationAPIModel.dataList.caseID","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","個案身分證字號","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.caseID",1,1,"",""
"HNEvaluationAPIModel.dataList.endDate","HNEvaluationAPIModel.dataList.endDate","","","",1,1,"","","","date {[]} {[]}
","收案日期","收案日期","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.endDate",1,1,"",""
"HNEvaluationAPIModel.dataList.healthyHabits","HNEvaluationAPIModel.dataList.healthyHabits","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNHealthyHabitsModel {[]} {[]}
","健康紀錄評估","健康紀錄評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.healthyHabits",0,*,"",""
"HNEvaluationAPIModel.dataList.medicalHistories","HNEvaluationAPIModel.dataList.medicalHistories","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNMedicalHistoriesModel {[]} {[]}
","疾病史評估","疾病史評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.medicalHistories",0,*,"",""
