"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－跌倒危險性評估欄位對應"
"HNFallRisksModel","HNFallRisksModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－跌倒危險性評估邏輯模型","描述居家護理跌倒危險性評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNFallRisksModel.date","HNFallRisksModel.date","","","",1,1,"","","","date {[]} {[]}
","紀錄日期","紀錄日期","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.date",1,1,"","","QuestionnaireResponse.item.where(linkId='Date')"
"HNFallRisksModel.nurseID","HNFallRisksModel.nurseID","","","",1,1,"","","","string {[]} {[]}
","護理人員身分證字號","護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.nurseID",1,1,"","","QuestionnaireResponse.item.where(linkId='NurseID')"
"HNFallRisksModel.questions","HNFallRisksModel.questions","","","",1,1,"","","","BackboneElement {[]} {[]}
","評估項目","評估項目","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.questions",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Questions')"
"HNFallRisksModel.questions.id","HNFallRisksModel.questions.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNFallRisksModel.questions.extension","HNFallRisksModel.questions.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.modifierExtension","HNFallRisksModel.questions.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.q2f552b4a","HNFallRisksModel.questions.q2f552b4a","","","",1,1,"","","","BackboneElement {[]} {[]}
","年紀65歲以上","年紀65歲以上","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.questions.q2f552b4a",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q2f552b4a')"
"HNFallRisksModel.questions.q2f552b4a.id","HNFallRisksModel.questions.q2f552b4a.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNFallRisksModel.questions.q2f552b4a.extension","HNFallRisksModel.questions.q2f552b4a.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.q2f552b4a.modifierExtension","HNFallRisksModel.questions.q2f552b4a.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.q2f552b4a.answer","HNFallRisksModel.questions.q2f552b4a.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-58e4d598f859","",,,,"HNFallRisksModel.questions.q2f552b4a.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q2f552b4a').item.where(linkId='Questions.q2f552b4a.Answer')"
"HNFallRisksModel.questions.q2f552b4a.options","HNFallRisksModel.questions.q2f552b4a.options","","","",0,1,"","","","string {[]} {[]}
","多選答案","多選答案","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.questions.q2f552b4a.options",0,1,"","","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q2f552b4a').item.where(linkId='Questions.q2f552b4a.Options')"
"HNFallRisksModel.questions.q2f552b4a.other","HNFallRisksModel.questions.q2f552b4a.other","","","",0,1,"","","","string {[]} {[]}
","其他用藥說明","其他用藥說明","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.questions.q2f552b4a.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q2f552b4a').item.where(linkId='Questions.q2f552b4a.Other')"
"HNFallRisksModel.questions.q463dc41d","HNFallRisksModel.questions.q463dc41d","","","",1,1,"","","","BackboneElement {[]} {[]}
","過去一年內曾跌倒","過去一年內曾跌倒","","","","","","","","","",,,,,"",,,,"HNFallRisksModel.questions.q463dc41d",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q463dc41d')"
"HNFallRisksModel.questions.q463dc41d.id","HNFallRisksModel.questions.q463dc41d.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNFallRisksModel.questions.q463dc41d.extension","HNFallRisksModel.questions.q463dc41d.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.q463dc41d.modifierExtension","HNFallRisksModel.questions.q463dc41d.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNFallRisksModel.questions.q463dc41d.answer","HNFallRisksModel.questions.q463dc41d.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-58e4d598f859","",,,,"HNFallRisksModel.questions.q463dc41d.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='Questions').item.where(linkId='Questions.q463dc41d').item.where(linkId='Questions.q463dc41d.Answer')"
