"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－健康紀錄評估欄位對應"
"HNHealthyHabitsModel","HNHealthyHabitsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－健康紀錄評估邏輯模型","描述居家護理健康紀錄評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNHealthyHabitsModel.date","HNHealthyHabitsModel.date","","","",1,1,"","","","date {[]} {[]}
","紀錄日期","紀錄日期","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.date",1,1,"","","QuestionnaireResponse.item.where(linkId='Date')"
"HNHealthyHabitsModel.nurseID","HNHealthyHabitsModel.nurseID","","","",1,1,"","","","string {[]} {[]}
","護理人員身分證字號","護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.nurseID",1,1,"","","QuestionnaireResponse.item.where(linkId='NurseID')"
"HNHealthyHabitsModel.isSmoking","HNHealthyHabitsModel.isSmoking","","","",1,1,"","","","Coding {[]} {[]}
","吸菸狀態","吸菸狀態","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-85c814c9b8ba","",,,,"HNHealthyHabitsModel.isSmoking",1,1,"","","QuestionnaireResponse.item.where(linkId='IsSmoking')"
"HNHealthyHabitsModel.isAlcohol","HNHealthyHabitsModel.isAlcohol","","","",1,1,"","","","Coding {[]} {[]}
","飲酒狀態","飲酒狀態","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-5f96e05811ec","",,,,"HNHealthyHabitsModel.isAlcohol",1,1,"","","QuestionnaireResponse.item.where(linkId='IsAlcohol')"
"HNHealthyHabitsModel.isBetelNut","HNHealthyHabitsModel.isBetelNut","","","",1,1,"","","","Coding {[]} {[]}
","嚼食檳榔狀態","嚼食檳榔狀態","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-a5f17d46becb","",,,,"HNHealthyHabitsModel.isBetelNut",1,1,"","","QuestionnaireResponse.item.where(linkId='IsBetelNut')"
"HNHealthyHabitsModel.quitSmoking","HNHealthyHabitsModel.quitSmoking","","","",0,1,"","","","decimal {[]} {[]}
","戒菸年數","戒菸年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.quitSmoking",0,1,"","","QuestionnaireResponse.item.where(linkId='QuitSmoking')"
"HNHealthyHabitsModel.beforeSmoking","HNHealthyHabitsModel.beforeSmoking","","","",0,1,"","","","decimal {[]} {[]}
","戒菸前吸菸年數","戒菸前吸菸年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.beforeSmoking",0,1,"","","QuestionnaireResponse.item.where(linkId='BeforeSmoking')"
"HNHealthyHabitsModel.smokingYear","HNHealthyHabitsModel.smokingYear","","","",0,1,"","","","decimal {[]} {[]}
","吸菸年數","吸菸年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.smokingYear",0,1,"","","QuestionnaireResponse.item.where(linkId='SmokingYear')"
"HNHealthyHabitsModel.quitAlcohol","HNHealthyHabitsModel.quitAlcohol","","","",0,1,"","","","decimal {[]} {[]}
","戒酒年數","戒酒年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.quitAlcohol",0,1,"","","QuestionnaireResponse.item.where(linkId='QuitAlcohol')"
"HNHealthyHabitsModel.beforequitAlcohol","HNHealthyHabitsModel.beforequitAlcohol","","","",0,1,"","","","decimal {[]} {[]}
","戒酒前飲酒年數","戒酒前飲酒年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.beforequitAlcohol",0,1,"","","QuestionnaireResponse.item.where(linkId='BeforequitAlcohol')"
