"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－照護計畫措施欄位對應"
"HNMeasuresModel","HNMeasuresModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－照護計畫措施邏輯模型","描述居家護理照護計畫措施的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNMeasuresModel.caseID","HNMeasuresModel.caseID","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","個案身分證字號","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.caseID",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseID')"
"HNMeasuresModel.endDate","HNMeasuresModel.endDate","","","",1,1,"","","","date {[]} {[]}
","收案日期","收案日期","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.endDate",1,1,"","","QuestionnaireResponse.item.where(linkId='EndDate')"
"HNMeasuresModel.summaryCreateDate","HNMeasuresModel.summaryCreateDate","","","",1,1,"","","","date {[]} {[]}
","需求摘要評估日期","需求摘要評估日期","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.summaryCreateDate",1,1,"","","QuestionnaireResponse.item.where(linkId='SummaryCreateDate')"
"HNMeasuresModel.summary","HNMeasuresModel.summary","","","",1,1,"","","","string {[]} {[]}
","需求摘要項目","需求摘要項目","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.summary",1,1,"","","QuestionnaireResponse.item.where(linkId='Summary')"
"HNMeasuresModel.summaryAnswer","HNMeasuresModel.summaryAnswer","","","",1,1,"","","","string {[]} {[]}
","需求摘要備註","需求摘要備註","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.summaryAnswer",1,1,"","","QuestionnaireResponse.item.where(linkId='SummaryAnswer')"
"HNMeasuresModel.targetStatement","HNMeasuresModel.targetStatement","","","",1,1,"","","","string {[]} {[]}
","目標描述","目標描述","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.targetStatement",1,1,"","","QuestionnaireResponse.item.where(linkId='TargetStatement')"
"HNMeasuresModel.measureCreateDate","HNMeasuresModel.measureCreateDate","","","",1,1,"","","","date {[]} {[]}
","措施建立日期","措施建立日期","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.measureCreateDate",1,1,"","","QuestionnaireResponse.item.where(linkId='MeasureCreateDate')"
"HNMeasuresModel.measureContent","HNMeasuresModel.measureContent","","","",1,1,"","","","string {[]} {[]}
","措施內容","措施內容","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.measureContent",1,1,"","","QuestionnaireResponse.item.where(linkId='MeasureContent')"
"HNMeasuresModel.nurseID","HNMeasuresModel.nurseID","","","",1,1,"","","","string {[]} {[]}
","建立護理人員身分證字號","建立護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.nurseID",1,1,"","","QuestionnaireResponse.item.where(linkId='NurseID')"
"HNMeasuresModel.measureStopDate","HNMeasuresModel.measureStopDate","","","",0,1,"","","","date {[]} {[]}
","停止日期","停止日期","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.measureStopDate",0,1,"","","QuestionnaireResponse.item.where(linkId='MeasureStopDate')"
"HNMeasuresModel.measureStopContent","HNMeasuresModel.measureStopContent","","","",0,1,"","","","string {[]} {[]}
","停止原因","停止原因","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.measureStopContent",0,1,"","","QuestionnaireResponse.item.where(linkId='MeasureStopContent')"
"HNMeasuresModel.measureStopNurseID","HNMeasuresModel.measureStopNurseID","","","",0,1,"","","","string {[]} {[]}
","停止護理人員身分證字號","停止護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNMeasuresModel.measureStopNurseID",0,1,"","","QuestionnaireResponse.item.where(linkId='MeasureStopNurseID')"
