"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－照護計畫目標欄位對應"
"HNTargetsModel","HNTargetsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－照護計畫目標邏輯模型","描述居家護理照護計畫目標的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNTargetsModel.caseID","HNTargetsModel.caseID","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","個案身分證字號","","","","","","","","","",,,,,"",,,,"HNTargetsModel.caseID",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseID')"
"HNTargetsModel.endDate","HNTargetsModel.endDate","","","",1,1,"","","","date {[]} {[]}
","收案日期","收案日期","","","","","","","","","",,,,,"",,,,"HNTargetsModel.endDate",1,1,"","","QuestionnaireResponse.item.where(linkId='EndDate')"
"HNTargetsModel.summaryCreateDate","HNTargetsModel.summaryCreateDate","","","",1,1,"","","","date {[]} {[]}
","需求摘要評估日期","需求摘要評估日期","","","","","","","","","",,,,,"",,,,"HNTargetsModel.summaryCreateDate",1,1,"","","QuestionnaireResponse.item.where(linkId='SummaryCreateDate')"
"HNTargetsModel.summary","HNTargetsModel.summary","","","",1,1,"","","","string {[]} {[]}
","需求摘要項目","需求摘要項目","","","","","","","","","",,,,,"",,,,"HNTargetsModel.summary",1,1,"","","QuestionnaireResponse.item.where(linkId='Summary')"
"HNTargetsModel.summaryAnswer","HNTargetsModel.summaryAnswer","","","",1,1,"","","","string {[]} {[]}
","需求摘要備註","需求摘要備註","","","","","","","","","",,,,,"",,,,"HNTargetsModel.summaryAnswer",1,1,"","","QuestionnaireResponse.item.where(linkId='SummaryAnswer')"
"HNTargetsModel.targetStatement","HNTargetsModel.targetStatement","","","",1,1,"","","","string {[]} {[]}
","目標描述","目標描述","","","","","","","","","",,,,,"",,,,"HNTargetsModel.targetStatement",1,1,"","","QuestionnaireResponse.item.where(linkId='TargetStatement')"
"HNTargetsModel.targetCreateDate","HNTargetsModel.targetCreateDate","","","",1,1,"","","","date {[]} {[]}
","目標建立日期","目標建立日期","","","","","","","","","",,,,,"",,,,"HNTargetsModel.targetCreateDate",1,1,"","","QuestionnaireResponse.item.where(linkId='TargetCreateDate')"
"HNTargetsModel.targetStatement2","HNTargetsModel.targetStatement2","","","",0,1,"","","","string {[]} {[]}
","目標補充說明","目標補充說明","","","","","","","","","",,,,,"",,,,"HNTargetsModel.targetStatement2",0,1,"","","QuestionnaireResponse.item.where(linkId='TargetStatement2')"
"HNTargetsModel.estimatedDate","HNTargetsModel.estimatedDate","","","",1,1,"","","","date {[]} {[]}
","預期達到日期","預期達到日期","","","","","","","","","",,,,,"",,,,"HNTargetsModel.estimatedDate",1,1,"","","QuestionnaireResponse.item.where(linkId='EstimatedDate')"
"HNTargetsModel.isMainTarget","HNTargetsModel.isMainTarget","","","",1,1,"","","","boolean {[]} {[]}
","是否主要目標","是否主要目標","","","","","","","","","",,,,,"",,,,"HNTargetsModel.isMainTarget",1,1,"","","QuestionnaireResponse.item.where(linkId='IsMainTarget')"
"HNTargetsModel.nurseID","HNTargetsModel.nurseID","","","",1,1,"","","","string {[]} {[]}
","建立護理人員身分證字號","建立護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNTargetsModel.nurseID",1,1,"","","QuestionnaireResponse.item.where(linkId='NurseID')"
