"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－分案審核明細邏輯模型對應"
"LTCFeeAuditDetailModel","LTCFeeAuditDetailModel","","","",0,*,"","","","null {[]} {[]}
","長照支付審查－分案審核明細邏輯模型","此邏輯模型以《衛生福利部 支付審核系統 API 規格說明書（照管平台）v2.2.1》「五、(查詢B)分案審核明細查詢」為基礎，用以描述分案審核明細查詢之傳送資料與回覆明細的資料結構與欄位準備指引。需先執行（查詢A）取得案件之核銷案號、核銷狀況與總表版次，當為新核銷案號或核銷狀況、總表版次有異動時，才執行（查詢B）取得該案件之明細資料。","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","ClaimResponse"
"LTCFeeAuditDetailModel.queryInfo","LTCFeeAuditDetailModel.queryInfo","","","",1,1,"","","","BackboneElement {[]} {[]}
","查詢輸入資訊","分案審核明細查詢的傳送資料（app_result_query_info），單筆物件","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LTCFeeAuditDetailModel.queryInfo.id","LTCFeeAuditDetailModel.queryInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeAuditDetailModel.queryInfo.extension","LTCFeeAuditDetailModel.queryInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditDetailModel.queryInfo.modifierExtension","LTCFeeAuditDetailModel.queryInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditDetailModel.queryInfo.writeoffYyyymm","LTCFeeAuditDetailModel.queryInfo.writeoffYyyymm","","","",1,1,"","","","string {[]} {[]}
","支審年月","支付審查年月，格式 yyyyMM，長度 6（writeoff_yyyymm）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo.writeoffYyyymm",1,1,"","","ClaimResponse.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/yyyymm').value"
"LTCFeeAuditDetailModel.queryInfo.transNo","LTCFeeAuditDetailModel.queryInfo.transNo","","","",1,1,"","","","string {[]} {[]}
","交易序號","本次查詢的交易序號，長度 10（trans_no）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo.transNo",1,1,"","","ClaimResponse"
"LTCFeeAuditDetailModel.queryInfo.queryType","LTCFeeAuditDetailModel.queryInfo.queryType","","","",1,1,"","","","string {[]} {[]}
","查詢類別","查詢類別，長度 1，固定值：B，代表分案審核明細查詢（query_type）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo.queryType",1,1,"","","ClaimResponse"
"LTCFeeAuditDetailModel.queryInfo.cityCd","LTCFeeAuditDetailModel.queryInfo.cityCd","","","",1,1,"","","","string {[]} {[]}
","縣市代碼","受理案件之縣市代碼，長度 5（city_cd）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo.cityCd",1,1,"","","ClaimResponse.insurer"
"LTCFeeAuditDetailModel.queryInfo.caseNo","LTCFeeAuditDetailModel.queryInfo.caseNo","","","",1,1,"","","","string {[]} {[]}
","核銷案號","欲查詢明細之核銷案號，長度 30（case_no）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.queryInfo.caseNo",1,1,"","","ClaimResponse.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/case-no').value"
"LTCFeeAuditDetailModel.auditResult","LTCFeeAuditDetailModel.auditResult","","","",1,1,"","","","BackboneElement {[]} {[]}
","分案審核明細","分案審核明細查詢的回覆內容（Response.result）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LTCFeeAuditDetailModel.auditResult.id","LTCFeeAuditDetailModel.auditResult.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeAuditDetailModel.auditResult.extension","LTCFeeAuditDetailModel.auditResult.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
