URL,Version,Status,OIDs,Name,Title,Description,Used
http://ltc-ig.fhir.tw/CodeSystem/AddressUseCS-TWLTC,1.1.0,active,"2.25.334065826872561756677495657084642957579",AddressUseCSTWLTC,地址用途擴展識別碼,"地址用途的擴展識別碼，新增戶籍地與現居地等代碼",
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityCS-TWLTC,1.1.0,active,"2.25.225229437710867438450785443264078907768",ConditionDisabilityCSTWLTC,個案身心障礙手冊持有狀態代碼,"用於表述個案的身心障礙手冊持有狀態代碼。",
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityLegacyTypeCS-TWLTC,1.1.0,active,"2.25.300571435625343201286057205693650208225",ConditionDisabilityLegacyTypeCSTWLTC,個案身心障礙類型代碼（舊制）,"用於表述個案的身心障礙類型代碼（舊制）。",
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityTypeCS-TWLTC,1.1.0,active,"2.25.131122855440392965155245925877657820192",ConditionDisabilityTypeCSTWLTC,個案身心障礙類型代碼（新制）,"用於表述個案的身心障礙類型代碼（新制）。",
http://ltc-ig.fhir.tw/CodeSystem/EconomyStatusCS-TWLTC,1.1.0,active,"2.25.141362374403667798643111529984595511128",EconomyStatusCSTWLTC,經濟狀況代碼,"用於表述個案的經濟狀況，在長照機構住民經濟狀況 Extension 中使用。 此代碼比照警政署偵查筆錄制式格式之選項進行設計。",
http://ltc-ig.fhir.tw/CodeSystem/EducationStatusCS-TWLTC,1.1.0,active,"2.25.181683246953841207407143680486179519716",EducationStatusCSTWLTC,教育程度代碼,"用於表述個案的教育程度，在長照機構住民教育程度 Extension 中使用。",
http://ltc-ig.fhir.tw/CodeSystem/GaitCycleCS-Sport,1.1.0,active,"2.25.207962637999855919469810539042803624695",GaitCycleCSSport,身體活動量測-步態週期,"一個步伐的完整過程，從一隻腳接觸地面開始到同一隻腳再次接觸地面結束。這個過程可以分為兩個主要階段：支撐期（stance phase）和擺動期（swing phase）。本 CodeSystem 繼承自身體活動量測 IG，後續將配合原始 IG 進行更新。",
http://ltc-ig.fhir.tw/CodeSystem/ICD-10-PCS-2023-TW-F-CS,1.1.0,active,"2.25.173002229864480078980852196617798676431",ICD10PCS2023TWFCS,臺灣 2023 年中文版 ICD-10-PCS-F-復健及診斷性聽力學,"臺灣 2023 年中文版 ICD-10-PCS 復健及診斷性聽力學(Physical Rehabilitation and Diagnostic Audiology)，章節數值為「F」。 包括：復健、診斷性聽力學。 代碼出版日期：2023-11-10；資料所屬單位：衛生福利部中央健康保險署。 因原始資料無代碼版本資訊，故使用其法規「公布日期」作為版本資訊。本 CodeSystem 繼承自身體活動量測 IG，後續將配合原始 IG 進行更新。",
http://ltc-ig.fhir.tw/CodeSystem/PatientIdentityCS-TWLTC,1.1.0,active,"2.25.183908346030576353341425982526024496690",PatientIdentityCSTWLTC,個案身分別代碼,"個案身分別代碼",
http://ltc-ig.fhir.tw/CodeSystem/ReferralCarePlanCS-TWLTC,1.1.0,active,"2.25.331038000319735660568566000808774671113",ReferralCarePlanCSTWLTC,轉介單申請服務種類代碼,"用於表述個案欲申請的服務項目。",
http://ltc-ig.fhir.tw/CodeSystem/ReferralConditionCaregiverCS-TWLTC,1.1.0,active,"2.25.234945324398988787919068777619500322446",ReferralConditionCaregiverCSTWLTC,轉介單看護狀況代碼,"用於表述個案雇用看護的狀況。",
http://ltc-ig.fhir.tw/CodeSystem/ReferralConditionCrushCS-TWLTC,1.1.0,active,"2.25.276529238070119313889804260776559609845",ReferralConditionCrushCSTWLTC,轉介單壓傷狀況代碼,"用於表述個案的壓傷狀況。",
