TaiwanLongTermCareImplementationGuide
=========================================

/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 218, col 10, Info - None of the codings provided are in the value set 'FHIR Document Type Codes' (http://hl7.org/fhir/ValueSet/doc-typecodes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hah-document#discharge-summary) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 29, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 64, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 84, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 104, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 130, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 153, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 185, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 351, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-outcome|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 339, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 407, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 557, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 622, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 784, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 891, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 933, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 942, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 969, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 1278, col 18, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-eligibility|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 1351, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 1661, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 1, col 2, Info - Can't find 'https://example.org/policies/hah-care-consent' in the bundle (Bundle.entry[29].resource.policy[0].uri) (NOTFOUND)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 148, col 10, Info - None of the codings provided are in the value set 'FHIR Document Type Codes' (http://hl7.org/fhir/ValueSet/doc-typecodes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hah-document#transfer-summary) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 29, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 52, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 67, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 82, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 97, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 112, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 127, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-document|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 281, col 14, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-outcome|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 269, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 325, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 467, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
